2026-07-03 02:15:20	cid=13	cas=120-82-1	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=8&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:20	cid=13	cas=120-82-1	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=9&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:21	cid=13	cas=120-82-1	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=1&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:15:21	cid=13	cas=120-82-1	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=2&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:15:21	cid=13	cas=120-82-1	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=3&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:15:26	cid=13	cas=120-82-1	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=4&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:15:26	cid=13	cas=120-82-1	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=5&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:15:26	cid=13	cas=120-82-1	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=6&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:15:27	cid=13	cas=120-82-1	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=7&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:15:27	cid=13	cas=120-82-1	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=8&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:15:31	cid=13	cas=120-82-1	modality=uvvis	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C120821&Index=9&Type=UVVis	reason=download_http_404	message=
2026-07-03 02:15:31	cid=13	cas=120-82-1	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=120-82-1&Units=SI&Mask=480	reason=all_jcamp_downloads_failed	message=ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;ir:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404;uvvis:download_http_404
2026-07-03 02:15:31	cid=14	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:15:31	cid=15	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:15:32	cid=16	cas=56403-09-9	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=56403-09-9&Units=SI&Mask=480	reason=no_jcamp_links	message=
2026-07-03 02:15:33	cid=17	cas=16052-12-3	modality=	url=https://webbook.nist.gov/cgi/cbook.cgi?ID=16052-12-3&Units=SI&Mask=480	reason=nist_not_found	message=
2026-07-03 02:15:33	cid=18	cas=	modality=	url=	reason=not_found	message=no_cas_in_synonyms
2026-07-03 02:15:34	cid=19	cas=303-38-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C303388&Index=1&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:34	cid=19	cas=303-38-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C303388&Index=2&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:34	cid=19	cas=303-38-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C303388&Index=3&Type=IR	reason=download_http_404	message=
2026-07-03 02:15:35	cid=19	cas=303-38-8	modality=ir	url=https://webbook.nist.gov/cgi/cbook.cgi?JCAMP=C303388&Index=4&Type=IR	reason=download_http_404	message=
