cid,iupac_name,pubchem_inchikey,rdkit_inchikey,canonical_smiles,isomeric_smiles,formula,pubchem_molecular_weight,rdkit_molecular_weight,exact_mass,charge,heavy_atom_count,isotope_atom_count,covalent_unit_count,elements,xlogp,tpsa,h_bond_donor_count,h_bond_acceptor_count,rotatable_bond_count,source
80,"4,5-dihydroxy-3-oxocyclohexene-1-carboxylic acid",SLWWJZMPHJJOPH-UHFFFAOYSA-N,SLWWJZMPHJJOPH-UHFFFAOYSA-N,O=C(O)C1=CC(=O)C(O)C(O)C1,,C7H8O5,172.13,172.136,172.03717335,0,12,0,1,C;H;O,-1.4,94.8,3,5,1,PubChem
81,"4,5,6-trihydroxy-2-oxo-7-phosphonooxyheptanoic acid",PJWIPEXIFFQAQZ-UHFFFAOYSA-N,PJWIPEXIFFQAQZ-UHFFFAOYSA-N,O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O)O,,C7H13O10P,288.15,288.145,288.02463360,0,18,0,1,C;H;O;P,-4,182,6,10,8,PubChem
82,5-(1-carboxyethenoxy)-4-hydroxy-3-phosphonooxycyclohexene-1-carboxylic acid,QUTYKIXIUDQOLK-UHFFFAOYSA-N,QUTYKIXIUDQOLK-UHFFFAOYSA-N,C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O)O,,C10H13O10P,324.18,324.178,324.02463360,0,21,0,1,C;H;O;P,-1.8,171,5,10,6,PubChem
85,(3-carboxy-2-hydroxypropyl)-trimethylazanium,PHIQHXFUZVPYII-UHFFFAOYSA-O,PHIQHXFUZVPYII-UHFFFAOYSA-O,C[N+](C)(C)CC(O)CC(=O)O,,C7H16NO3+,162.21,162.209,162.11301837,1,11,0,1,C;H;N;O,-0.8,57.5,2,3,4,PubChem
86,2-amino-3-hydroxybenzoic acid,WJXSWCUQABXPFS-UHFFFAOYSA-N,WJXSWCUQABXPFS-UHFFFAOYSA-N,Nc1c(O)cccc1C(=O)O,,C7H7NO3,153.14,153.137,153.042593085,0,11,0,1,C;H;N;O,0.9,83.6,3,4,1,PubChem
87,3-hydroxy-2-methylpropanoic acid,DBXBTMSZEOQQDU-UHFFFAOYSA-N,DBXBTMSZEOQQDU-UHFFFAOYSA-N,CC(CO)C(=O)O,,C4H8O3,104.10,104.105,104.047344113,0,7,0,1,C;H;O,-0.4,57.5,2,3,2,PubChem
89,2-amino-4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid,VCKPUUFAIGNJHC-UHFFFAOYSA-N,VCKPUUFAIGNJHC-UHFFFAOYSA-N,Nc1c(O)cccc1C(=O)CC(N)C(=O)O,,C10H12N2O4,224.21,224.216,224.07970687,0,16,0,1,C;H;N;O,-2.5,127,4,6,4,PubChem
91,3-(3-hydroxyphenyl)propanoic acid,QVWAEZJXDYOKEH-UHFFFAOYSA-N,QVWAEZJXDYOKEH-UHFFFAOYSA-N,O=C(O)CCc1cccc(O)c1,,C9H10O3,166.17,166.176,166.062994177,0,12,0,1,C;H;O,1.4,57.5,2,3,3,PubChem
92,3-ethenyl-6-[hydroxy-(6-methoxyquinolin-4-yl)methyl]-1-azabicyclo[2.2.2]octan-3-ol,BSRUJCFCZKMFMB-UHFFFAOYSA-N,BSRUJCFCZKMFMB-UHFFFAOYSA-N,C=CC1(O)CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,,C20H24N2O3,340.4,340.423,340.17869263,0,25,0,1,C;H;N;O,1.8,65.8,2,5,4,PubChem
93,3-oxohexanedioic acid,RTGHRDFWYQHVFW-UHFFFAOYSA-N,RTGHRDFWYQHVFW-UHFFFAOYSA-N,O=C(O)CCC(=O)CC(=O)O,,C6H8O5,160.12,160.125,160.03717335,0,11,0,1,C;H;O,-0.9,91.7,2,5,5,PubChem
